Name,Ticker,Sector,Sub-Sector, Market Cap , Close Price ,PE Ratio,Common Shares Outstanding
Aegis Logistics Ltd,MGL.NS,Utilities,Oil & Gas - Storage & Transportation,7358.71,209.65,20.5826667,35.1045
Astrazeneca Pharma India Ltd,POLYPLEX.NS,Materials,Pharmaceuticals,7308.50,2923.40,118.6637441,2.5
Westlife Development Ltd,TATAINVEST.NS,Financials,Restaurants & Cafes,7298.11,468.20,-4370.127354,15.5802865
Mahindra CIE Automotive Ltd,FSL.NS,Information Technology,Auto Parts,7277.25,191.95,18.52189427,37.9075399
CE Info Systems Ltd,ECLERX.NS,Information Technology,Software Services,7271.39,1365.70,83.56961272,0.511042856
Prince Pipes and Fittings Ltd,WELSPUNIND.NS,Consumer Discretionary,Building Products - Pipes,7172.65,648.75,28.7596231,11.0025759
Sonata Software Ltd,PGHL.NS,Health Care,IT Services & Consulting,7126.33,685.75,18.93134557,10.3859431
Polyplex Corp Ltd,WESTLIFE.NS,Consumer Discretionary,Commodity Chemicals,7121.07,2268.40,12.51945513,3.1392462
Housing and Urban Development Corporation Ltd,JUBLINGREA.NS,Health Care,Specialized Finance,7106.75,35.50,4.140470517,200.19
SIS Ltd,TV18BRDCST.NS,Communication Services,Business Support Services,7075.53,481.20,21.77555953,14.83
Home First Finance Company India Ltd,SIS.NS,Industrials,Home Financing,7028.77,802.00,37.7708022,8.7633703
Sapphire Foods India Ltd,MAPMYINDIA.NS,Information Technology,Restaurants & Cafes,7026.53,1105.80,151.2058142,5.2790409
Procter & Gamble Health Ltd,PRINCEPIPE.NS,Industrials,Pharmaceuticals,7012.82,4224.75,39.66529361,1.6599382
Eclerx Services Ltd,RBLBANK.NS,Financials,Outsourced services,7008.50,2117.40,16.79084909,3.4005981
Symphony Ltd,MAHINDCIE.NS,Consumer Discretionary,Home Electronics & Appliances,6996.75,1000.15,58.30624463,6.9957
Anupam Rasayan India Ltd,POLYMED.NS,Health Care,Specialty Chemicals,6977.63,695.85,45.85414855,9.9922391
TV18 Broadcast Ltd,SONATSOFTW.NS,Information Technology,TV Channels & Broadcasters,6900.30,40.25,11.80547416,171.436016
Zensar Technologies Ltd,JSLHISAR.NS,Materials,IT Services & Consulting,6878.25,303.90,16.52233884,22.5620285
KNR Constructions Ltd,GMMPFAUDLR.NS,Industrials,Construction & Engineering,6863.53,244.05,16.84798079,28.12346
RBL Bank Ltd,BBTC.NS,Consumer Staple,Private Banks,6834.46,114.00,-41.13425759,59.8020398
Bombay Burmah Trading Corporation Ltd,HUDCO.NS,Financials,Tea & Coffee,6824.04,978.05,18.46581161,6.98134
Sterlite Technologies Ltd,SAPPHIRE.NS,Consumer Discretionary,Telecom Equipments,6820.78,171.45,110.1013309,39.66
Poly Medicure Ltd,GRANULES.NS,Health Care,Health Care Equipment & Supplies,6760.49,704.95,46.14357115,9.5880567
Rail Vikas Nigam Ltd,ZENSARTECH.NS,Information Technology,Specialized Finance,6745.04,32.35,7.312409558,208.50201
Granules India Ltd,STLTECH.NS,Communication Services,Pharmaceuticals,6730.88,271.40,16.30699864,24.7674796
Welspun India Ltd,PRAJIND.NS,Industrials,Textiles,6639.75,67.20,11.04471782,100.472515
Multi Commodity Exchange of India Ltd,GUJALKALI.NS,Materials,Stock Exchanges & Ratings,6594.46,1295.50,45.97044316,5.0998369
V-mart Retail Ltd,RVNL.NS,Financials,Retail - Department Stores,6512.43,3296.50,559.4873609,1.9706143
Lux Industries Ltd,HOMEFIRST.NS,Financials,Apparel & Accessories,6485.26,2156.60,19.09282163,2.77375
Jubilant Pharmova Ltd,MCX.NS,Financials,Pharmaceuticals,6479.97,407.10,15.65437865,15.9301139
Can Fin Homes Ltd,EQUITASBNK.NS,Financials,Home Financing,6378.75,479.05,13.54011539,13.3154125
PNC Infratech Ltd,VAIBHAVGBL.NS,Consumer Discretionary,Construction & Engineering,6367.30,248.20,10.96997411,25.6539165
Sunteck Realty Ltd,KNRCON.NS,Industrials,Real Estate,6333.96,432.50,151.0603931,14.039449
Gujarat State Fertilizers and Chemicals Ltd,SUNTECK.NS,Real Estate,Fertilizers & Agro Chemicals,6270.04,157.35,6.977724782,39.847753
Praj Industries Ltd,JUBLPHARMA.NS,Health Care,Construction & Engineering,6231.11,339.25,41.47437108,18.3228904
INOX Leisure Ltd,LUXIND.NS,Consumer Discretionary,Theatres,6195.11,507.00,-25.87442578,11.2485424
Sterling and Wilson Renewable Energy Ltd,PNCINFRA.NS,Industrials,Renewable Energy Equipment & Services,6193.49,326.50,-6.810071166,16.036
Rattanindia Enterprises Ltd,JMFINANCIL.NS,Financials,Power Trading & Consultancy,6192.57,44.80,619256.7772,138.2269592
Godfrey Phillips India Ltd,ASTRAZEN.NS,Health Care,FMCG - Tobacco,6184.94,1189.55,14.11892607,5.199392
Kalyan Jewellers India Ltd,WELCORP.NS,Materials,"Precious Metals, Jewellery & Watches",6118.52,59.40,27.2879991,103.0053057
GMM Pfaudler Ltd,KALYANKJIL.NS,Consumer Discretionary,Industrial Machinery,6100.54,4173.45,71.72887169,1.46175
Garware Technical Fibres Ltd,GSFC.NS,Materials,Textiles,6098.03,2957.60,37.00709833,2.0618169
